station,lat,lon,RUBISCO,PEPC,GOT,PEPCK,MDH_NAD,MDH_NADP,MDC_NADP,MDC_NAD,GPT_GGAT,PEPDK
004,36.5533,-6.5669,8.605742501936254e-5,5.383055771245591e-5,1.1025734176056989e-4,2.7694155763282765e-5,8.540261428125408e-5,1.1929496442551348e-5,8.946765093440328e-5,4.437739206712232e-5,1.0730575554512599e-4,3.5820787749117184e-5
005,36.0244,-4.4685,2.811937522991146e-5,4.7344262448640734e-5,9.474373843231686e-5,1.4149698973812008e-5,8.119135501990776e-5,6.073748342533531e-6,5.84863154536015e-5,2.358274411583364e-5,8.56758109798142e-5,3.9277749433093935e-5
006,36.5207,-4.0074,2.0866316384950665e-4,1.1278540983579061e-4,9.324195846411072e-5,1.9706798815110105e-5,2.8249239454183753e-4,1.1362148984588979e-4,5.392228971879646e-4,1.763245084667738e-4,2.5727163605257687e-4,1.9394359436650856e-4
007,37.0434,1.9493,9.157665915048402e-6,7.672509394233268e-5,6.0934245123010976e-5,1.1096260255481716e-5,9.837634036179813e-5,5.160786728902011e-6,5.907742763588508e-5,6.958343569931438e-6,1.1503973584127224e-4,2.3837550959130277e-5
008,38.005,3.9899,8.9905467019099e-6,3.948538894754163e-5,5.668022588915776e-5,2.046253580337684e-5,1.2341613737108656e-4,6.806636123744815e-6,6.506004269715612e-5,1.9848563040439884e-5,1.5231358245744995e-4,3.5601472053455495e-5
009,39.0864,5.791,4.149251702611133e-6,3.2690611040915905e-5,7.323423289438449e-5,2.3967411359478178e-5,9.856852066599588e-5,1.2686217849362777e-6,1.7961143941554124e-5,3.3044938709418006e-6,1.1714126307765075e-4,6.8486049752229364e-6
010,40.6541,2.8407,1.4580590659028483e-6,3.117052502361097e-5,5.16737012771369e-5,2.874424839708614e-5,9.923078185944552e-5,4.220565936995128e-7,3.128421076261816e-5,1.2459937567220126e-5,1.0358072099494342e-4,9.304716594584133e-6
016,37.4956,15.4945,1.685922104509373e-6,3.2583513729386264e-5,5.867629601577068e-5,4.109856182178983e-5,8.604624451966443e-5,5.8859808629682e-7,3.711098973034103e-5,1.1844281860443995e-5,1.0148673778326768e-4,1.0890734136742809e-5
018,35.7606,14.2522,7.26004752782312e-6,2.530295579448904e-5,7.128210012063307e-5,1.9527758957445628e-5,8.315480855116515e-5,7.763102499606627e-7,3.471527339813126e-5,3.4935988238507882e-6,1.0927013257502735e-4,1.4822552849860058e-5
019,34.2116,13.7684,1.2593040269174772e-6,5.210946046151244e-5,9.530713545204157e-5,1.9025707957073175e-5,8.347043203089787e-5,1.4035663288084877e-6,4.327803815889958e-5,1.2274984880727997e-5,1.2252728075654623e-4,1.010249958717722e-5
